capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week,Reward,Average Success Rate,Proportions Difference,L1 Norm
39,-3, ,0,0, ,-546,0, ,-93,21, ,214,1,1105.24,1.0,0.0,56.06
0,54, ,-1,18, ,101,0, ,24,15, ,-51,-6,1105.21,0.99,0.0,43.4
24,22, ,194,26, ,-51,2, ,5,-1, ,7,1,1105.19,1.0,0.0,56.57
24,22, ,200,23, ,-59,2, ,3,-1, ,7,1,1105.17,1.0,0.0,56.78
0,75, ,97,1, ,0,2, ,1,-1, ,6,0,1105.16,0.99,0.01,33.36
208,0, ,0,-1, ,-2,-1, ,-10,-1, ,16,65,1105.16,1.0,0.0,56.94
221,0, ,0,-1, ,-2,-1, ,-6,-1, ,11,52,1105.15,1.0,0.0,57.12
0,2, ,0,54, ,34,42, ,10,15, ,132,0,1105.13,1.0,0.0,57.26
0,2, ,0,39, ,35,30, ,8,9, ,165,0,1105.12,1.0,0.0,57.46
221,0, ,0,0, ,-2,-1, ,-5,-1, ,6,84,1105.09,1.0,0.0,57.74
223,0, ,0,0, ,-3,-1, ,-5,-1, ,6,74,1105.07,1.0,0.0,58.0
0,2, ,0,19, ,22,13, ,6,9, ,102,0,1105.06,0.99,0.01,34.57
0,2, ,0,20, ,16,18, ,6,8, ,103,0,1105.06,0.99,0.01,34.56
219,0, ,0,-1, ,-2,-1, ,-6,-1, ,16,55,1105.05,1.0,0.0,58.21
18,69, ,0,15, ,133,0, ,26,35, ,-90,-6,1105.04,1.0,0.0,58.36
227,0, ,0,0, ,-1,-1, ,-5,-1, ,7,98,1104.97,1.0,0.0,59.17
231,0, ,0,0, ,-1,-1, ,-6,-1, ,4,78,1104.96,1.0,0.0,59.27
0,0, ,0,-3, ,-2,-2, ,-121,-2, ,231,89,1104.92,1.0,0.0,59.76
